lon,lat,jobs
4.77542,45.69737,72.7
4.77456,45.70635,201.1
4.77422,45.70995,1.5
4.77387,45.71354,21.0
4.77198,45.73331,4.3
4.77163,45.73690,43.9
4.77146,45.73870,43.9
4.77129,45.74049,182.5
4.77094,45.74409,20.0
4.77043,45.74948,53.1
4.77025,45.75127,173.6
4.77008,45.75307,71.1
4.76991,45.75487,5.8
4.76956,45.75846,96.3
4.76939,45.76026,3.9
4.76922,45.76205,3.9
4.76905,45.76385,1.9
4.76887,45.76565,96.3
4.76870,45.76745,39.3
4.76853,45.76924,22.9
4.76836,45.77104,1.6
4.76784,45.77643,216.6
4.76766,45.77823,21.8
4.76749,45.78002,3.3
4.76732,45.78182,408.7
4.76697,45.78541,97.1
4.76680,45.78721,105.3
4.76663,45.78901,1.6
4.76645,45.79080,3.3
4.76594,45.79619,4.4
4.76576,45.79799,381.0
4.76559,45.79979,468.9
4.76542,45.80158,45.2
4.76524,45.80338,198.2
4.76507,45.80518,133.0
4.76490,45.80697,261.6
4.76473,45.80877,218.6
4.76455,45.81057,222.1
4.76386,45.81775,20.0
4.76369,45.81955,12.6
4.76351,45.82135,34.3
4.76230,45.83392,1.3
4.75380,45.92196,1.6
4.78964,45.57530,4.2
4.78725,45.60046,15.3
4.78708,45.60225,25.3
4.78691,45.60405,40.5
4.78656,45.60765,142.8
4.78622,45.61124,3.5
4.78365,45.63820,4.4
4.78262,45.64898,7.7
4.78245,45.65077,1.6
4.78022,45.67413,7.3
4.78004,45.67593,162.5
4.77884,45.68851,1.5
4.77833,45.69390,33.7
4.77729,45.70468,33.7
4.77506,45.72804,1.4
4.77488,45.72984,1.4
4.77454,45.73343,543.7
4.77437,45.73523,1.6
4.77419,45.73703,6.0
4.77402,45.73882,73.7
4.77385,45.74062,177.1
4.77368,45.74242,7.6
4.77351,45.74421,167.3
4.77316,45.74781,45.5
4.77299,45.74960,172.2
4.77282,45.75140,1.8
4.77264,45.75320,6.9
4.77247,45.75499,76.9
4.77230,45.75679,24.6
4.77213,45.75859,19.4
4.77195,45.76038,1.9
4.77161,45.76398,28.1
4.77144,45.76577,1.6
4.77109,45.76937,6.5
4.77092,45.77117,8.7
4.77057,45.77476,3.3
4.77040,45.77656,1.6
4.77023,45.77835,6.0
4.77005,45.78015,15.3
4.76954,45.78554,111.3
4.76936,45.78734,89.5
4.76919,45.78913,4.4
4.76867,45.79452,8.2
4.76850,45.79632,9.8
4.76833,45.79812,560.4
4.76815,45.79991,38.7
4.76798,45.80171,441.1
4.76781,45.80351,424.2
4.76764,45.80530,203.4
4.76746,45.80710,286.4
4.76729,45.80890,103.9
4.76625,45.81968,54.9
4.76608,45.82147,62.2
4.76591,45.82327,28.8
4.76573,45.82507,6.3
4.76539,45.82866,3.3
4.76487,45.83405,1.3
4.76418,45.84124,1.3
4.75793,45.90592,14.2
4.75776,45.90771,1.6
4.75758,45.90951,1.6
4.75672,45.91849,37.8
4.79288,45.56824,78.3
4.79271,45.57003,9.5
4.79254,45.57183,1.6
4.79220,45.57542,1.6
4.78946,45.60418,1.8
4.78912,45.60777,268.6
4.78895,45.60957,21.7
4.78860,45.61316,4.7
4.78449,45.65629,81.5
4.78277,45.67426,393.9
4.78260,45.67606,94.7
4.78226,45.67965,1.5
4.78192,45.68325,3.9
4.77951,45.70840,39.0
4.77831,45.72098,1.8
4.77796,45.72457,3.7
4.77779,45.72637,16.4
4.77762,45.72817,50.6
4.77744,45.72996,13.6
4.77727,45.73176,240.9
4.77710,45.73356,2.8
4.77693,45.73535,1.4
4.77676,45.73715,59.0
4.77658,45.73895,44.4
4.77624,45.74254,8.7
4.77589,45.74614,1.6
4.77572,45.74793,41.0
4.77538,45.75153,4.7
4.77521,45.75332,7.1
4.77503,45.75512,11.0
4.77486,45.75692,36.8
4.77469,45.75871,22.6
4.77452,45.76051,58.1
4.77434,45.76231,9.0
4.77417,45.76410,47.8
4.77400,45.76590,1.6
4.77365,45.76949,1.6
4.77348,45.77129,27.3
4.77331,45.77309,4.4
4.77314,45.77489,6.0
4.77296,45.77668,14.2
4.77279,45.77848,10.4
4.77262,45.78028,8.2
4.77227,45.78387,180.1
4.77210,45.78567,850.6
4.77158,45.79106,4.9
4.77141,45.79285,10.4
4.77124,45.79465,8.2
4.77089,45.79824,2136.7
4.77072,45.80004,389.3
4.77055,45.80184,644.3
4.77037,45.80363,6.1
4.77020,45.80543,24.2
4.77003,45.80723,399.4
4.76985,45.80902,42.1
4.76968,45.81082,616.3
4.76951,45.81262,64.8
4.76934,45.81441,131.2
4.76916,45.81621,1.3
4.76882,45.81980,366.7
4.76864,45.82160,82.6
4.76847,45.82340,312.5
4.76830,45.82519,1.3
4.76743,45.83418,28.8
4.75876,45.92401,1.6
4.79543,45.56836,1.6
4.79526,45.57016,8.4
